Battery,Battery_rating,Brand,Camera_rating,DisplayResolution,DisplaySize,Display_rating,OS,Performance_rating,Primary_Camera,Processor,ProductBig_img0,ProductBig_img1,ProductBig_img2,ProductBig_img3,ProductBig_img4,ProductBig_img5,ProductBig_img6,Product_img,Product_name,Product_price,Product_rating,Ram,Secondary_Camera,TotalRatingReview,Value_for_Money_rating,aboutphone,disc1,disc2,disc3,disc4,disc5,disc6,disc7,link,review_1,review_2,review_3,review_4,review_5
2600,,Asus,,,12.7,,,,13MP,,,,,,,,,,"Asus Zenfone Go 5.0 LTE 2nd Gen (Black, 16GB)","4,999",3.6,2GB,,,,,2GB RAM | 16GB ROM | Expandable Upto 128GB,12.7 cm (5 inch) Display,13MP Rear Camera | 5MP Front Camera,2600 mAh Battery,1 Year Manufacturer Warranty,,,https://www.flipkart.com/asus-zenfone-go-5-0-lte-2nd-gen-black-16-gb/p/itmesdwcqpsmcqnf?pid=MOBESDW2PKWG6ZFZ&lid=LSTMOBESDW2PKWG6ZFZZZ6BG2&marketplace=FLIPKART&srno=b_9_196&otracker=nmenu_sub_Electronics_0_Asus&fm=organic&iid=ae2266a7-b778-4c44-a897-10a0178a696b.MOBESDW2PKWG6ZFZ.SEARCH&ssid=yhohwp7c5s0000001603774756090,,,,,
3000,,Asus,,,13.97,,,,13MP,,,,,,,,,,"Asus Zenfone 2 ZE551ML (Silver, 32GB)","19,999",3.9,4GB,,,,,4GB RAM | 32GB ROM | Expandable Upto 64GB,13.97 cm (5.5 inch) Full HD Display,13MP Rear Camera | 5MP Front Camera,3000 mAh Li-Polymer Battery,Intel Atom Z3580 Processor,,,https://www.flipkart.com/asus-zenfone-2-ze551ml-silver-32-gb/p/itme6kdckggpk8yg?pid=MOBE6KDCDCZ6EU3U&lid=LSTMOBE6KDCDCZ6EU3USRXT0I&marketplace=FLIPKART&srno=b_3_52&otracker=nmenu_sub_Electronics_0_Asus&fm=organic&iid=ccb32f23-89f5-4072-8d6d-6c6041413840.MOBE6KDCDCZ6EU3U.SEARCH&ssid=a5unx83jr40000001603774756010,,,,,
1750,,Asus,,,11.43,,,,8MP,,,,,,,,,,"Asus Zenfone 4 (Yellow, 8GB)","7,499",3.9,1GB,,,,,1GB RAM | 8GB ROM | Expandable Upto 64GB,11.43 cm (4.5 inch) FWVGA Display,8MP Rear Camera | 0.3MP Front Camera,1750 mAh Lithium Battery,Intel Atom Z2520 Processor with Intel Hyper Threading Technology Processor,,,https://www.flipkart.com/asus-zenfone-4-yellow-8-gb/p/itmeuyd8dqe79wcm?pid=MOBDXZAYUUSQVNYW&lid=LSTMOBDXZAYUUSQVNYWZDAPZA&marketplace=FLIPKART&srno=b_6_124&otracker=nmenu_sub_Electronics_0_Asus&fm=organic&iid=15dedcb6-f122-4431-a0eb-774d4d88a28f.MOBDXZAYUUSQVNYW.SEARCH&ssid=tb23zm2rg00000001603774756095,,,,,
2100,,Asus,,,11.43,,,,5MP,,,,,,,,,,"Asus Zenfone C (Red, 8GB)","6,299",3.7,1GB,,,,,1GB RAM | 8GB ROM | Expandable Upto 64GB,11.43 cm (4.5 inch) FWVGA Display,5MP Rear Camera | 0.3MP Front Camera,2100 mAh Battery,Intel Atom CloverTrail Z2520 Processor,,,https://www.flipkart.com/asus-zenfone-c-red-8-gb/p/itme5d99ysssvgcx?pid=MOBE4B74GVK87US8&lid=LSTMOBE4B74GVK87US8TMUTT4&marketplace=FLIPKART&srno=b_8_172&otracker=nmenu_sub_Electronics_0_Asus&fm=organic&iid=bccb4103-acb9-4f72-806a-0eeb43a95e7e.MOBE4B74GVK87US8.SEARCH&ssid=u0tw1u0dts0000001603774756076,,,,,
2100,,Asus,,,11.43,,,,5MP,,,,,,,,,,"Asus Zenfone C (White, 8GB)","6,299",3.7,1GB,,,,,1GB RAM | 8GB ROM | Expandable Upto 64GB,11.43 cm (4.5 inch) FWVGA Display,5MP Rear Camera | 0.3MP Front Camera,2100 mAh Battery,Intel Atom Z2520 Processor,,,https://www.flipkart.com/asus-zenfone-c-white-8-gb/p/itme5d99ysssvgcx?pid=MOBE4B74CD3W5ZRG&lid=LSTMOBE4B74CD3W5ZRG1XJLFY&marketplace=FLIPKART&srno=b_8_173&otracker=nmenu_sub_Electronics_0_Asus&fm=organic&iid=bccb4103-acb9-4f72-806a-0eeb43a95e7e.MOBE4B74CD3W5ZRG.SEARCH&ssid=u0tw1u0dts0000001603774756076,,,,,
3000,,Asus,,,13.97,,,,13MP,,,,,,,,,,"Asus Zenfone Selfie (Gold, 16GB)","14,999",3.9,2GB,,,,,2GB RAM | 16GB ROM | Expandable Upto 128GB,13.97 cm (5.5 inch) Full HD Display,13MP Rear Camera | 13MP Front Camera,3000 mAh Li-Polymer Battery,Qualcomm Snapdragon 615 MSM8939 Processor,,,https://www.flipkart.com/asus-zenfone-selfie-gold-16-gb/p/itmebyqyawyxhgzn?pid=MOBEBYQYJRCHEFN8&lid=LSTMOBEBYQYJRCHEFN8E80EYJ&marketplace=FLIPKART&srno=b_7_147&otracker=nmenu_sub_Electronics_0_Asus&fm=organic&iid=2804d13b-09de-4df0-85d6-ee05b30f3033.MOBEBYQYJRCHEFN8.SEARCH&ssid=gnip9xddts0000001603774756130,,,,,
5000,,Asus,,,16.23,,,,48MP + 13MP,,,,,,,,,,"Asus 6Z (Black, 256GB)","34,999",4.3,8GB,,,,,8GB RAM | 256GB ROM | Expandable Upto 2 TB,16.23 cm (6.39 inch) Full HD+ Display,48MP + 13MP | 48MP + 13MP Dual Front Camera,5000 mAh Battery,Qualcomm SD 855 Processor,,,https://www.flipkart.com/asus-6z-black-256-gb/p/itmfg5hgrznpuk87?pid=MOBFG5HFATHAPR8Y&lid=LSTMOBFG5HFATHAPR8YEHCUMV&marketplace=FLIPKART&srno=b_4_79&otracker=nmenu_sub_Electronics_0_Asus&fm=organic&iid=47c4232b-df27-42a4-9e48-dbf54e5b2016.MOBFG5HFATHAPR8Y.SEARCH&ssid=t48d0oqzcg0000001603774755956,,,,,
3000,,Asus,,,13.97,,,,13MP,,,,,,,,,,"Asus Zenfone 2 Laser ZE550KL (Gold, 16GB)","9,999",4.2,2GB,,,,,2GB RAM | 16GB ROM | Expandable Upto 128GB,13.97 cm (5.5 inch) HD Display,13MP Rear Camera | 5MP Front Camera,3000 mAh Li-Polymer Battery,Qualcomm Snapdragon 410 MSM8916 Processor,,,https://www.flipkart.com/asus-zenfone-2-laser-ze550kl-gold-16-gb/p/itmeggu7twuzzfgt?pid=MOBEGGU7JN7WPAVU&lid=LSTMOBEGGU7JN7WPAVUOWEXCT&marketplace=FLIPKART&srno=b_5_101&otracker=nmenu_sub_Electronics_0_Asus&fm=organic&iid=f633216d-c0df-4b4e-82ff-46b11d625286.MOBEGGU7JN7WPAVU.SEARCH&ssid=lqfkiczglc0000001603774756002,,,,,
2070,,Asus,,,12.7,,,,8MP,,,,,,,,,,"Asus Zenfone Go 5.0 (Red, 16GB)","5,996",4,2GB,,,,,2GB RAM | 16GB ROM | Expandable Upto 64GB,12.7 cm (5 inch) HD Display,8MP Rear Camera | 2MP Front Camera,2070 mAh Li-Polymer Battery,MediaTek MT6580 Processor,,,https://www.flipkart.com/asus-zenfone-go-5-0-red-16-gb/p/itme9j58wbb8h6hz?pid=MOBE9J58JQE4WHZU&lid=LSTMOBE9J58JQE4WHZUKNAX9K&marketplace=FLIPKART&srno=b_9_197&otracker=nmenu_sub_Electronics_0_Asus&fm=organic&iid=ae2266a7-b778-4c44-a897-10a0178a696b.MOBE9J58JQE4WHZU.SEARCH&ssid=yhohwp7c5s0000001603774756090,,,,,
3000,,Asus,,,14.48,,,,23MP,,,,,,,,,,"Asus Zenfone 3 Deluxe (Gold, 256GB)","63,999",3.8,6GB,,,,,6GB RAM | 256GB ROM | Expandable Upto 128GB,14.48 cm (5.7 inch) Full HD Display,23MP Rear Camera | 8MP Front Camera,3000 mAh Polymer Battery,Qualcomm 8996 Pro S821 Processor,,,https://www.flipkart.com/asus-zenfone-3-deluxe-gold-256-gb/p/itmezzgghhv7mnzk?pid=MOBEZZGGZQYFHGVM&lid=LSTMOBEZZGGZQYFHGVMIFTS9O&marketplace=FLIPKART&srno=b_3_53&otracker=nmenu_sub_Electronics_0_Asus&fm=organic&iid=ccb32f23-89f5-4072-8d6d-6c6041413840.MOBEZZGGZQYFHGVM.SEARCH&ssid=a5unx83jr40000001603774756010,,,,,
